term,gene
ko05226,R120333170
ko05230,R120333170
ko05231,R120333170
ko05235,R120333170
ko00330,R120063730
ko01100,R120063730
ko01110,R120063730
ko04130,R120353870
ko04910,R120359780
ko05132,R120359780
ko03040,R120035370
ko04144,R120193470
ko04075,R120181950
ko05165,R120272010
ko03008,R120344720
ko00900,R120135070
ko01100,R120135070
ko01110,R120135070
ko00520,R120035760
ko01100,R120035760
ko04013,R120336750
ko04115,R120336750
ko04120,R120336750
ko04310,R120336750
ko00960,R120014020
ko01100,R120014020
ko01110,R120014020
ko04626,R120139200
ko04075,R120064430
ko02010,R120068790
ko04976,R120068790
ko05206,R120068790
ko05226,R120068790
ko00860,R120009460
ko01100,R120009460
ko01110,R120009460
ko01240,R120009460
ko05322,R120176240
ko03013,R120232390
ko04141,R120232390
ko04150,R120232390
ko05014,R120232390
ko01110,R120066600
ko03018,R120066600
ko03040,R120066600
ko00195,R120268110
ko00920,R120023180
ko01100,R120023180
ko01120,R120023180
ko00020,R120104100
ko00270,R120104100
ko00620,R120104100
ko00630,R120104100
ko00710,R120104100
ko01100,R120104100
ko01110,R120104100
ko01120,R120104100
ko01200,R120104100
ko04910,R120158950
ko05132,R120158950
ko00270,R120070840
ko00920,R120070840
ko01100,R120070840
ko01110,R120070840
ko01120,R120070840
ko01200,R120070840
ko01230,R120070840
ko00020,R120100100
ko01100,R120100100
ko01110,R120100100
ko01120,R120100100
ko01200,R120100100
ko03040,R120091720
ko03013,R120166070
ko04141,R120343600
ko00010,R120115360
ko00562,R120115360
ko01100,R120115360
ko00270,R120039940
ko01100,R120039940
